Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
High Fidelity,823,"Hornby, Nick",5806982101,y,06-APR-1997,3,1,7.99,27-SEP-2002
High-Rise,823,"Ballard, J G",187437468X,y,01-SEP-1979,5,1,0.99,10-OCT-1983
Higher Superstition,500,"Gross, Paul R, and Norman Levitt",7942916177,y,13-FEB-2002,1,4,5.99,18-DEC-2008
Highways and Byway in Wiltshire,910.4,"Hutton, Edwad",6491380085,y,18-MAY-1997,2,2,21.5,17-DEC-2006
Hip: The History,306,"Leland, John",6688193933,y,30-APR-1998,2,2,17.99,17-JUL-2006
Hiroshima,940.53,"Hershey, John",6117845106,n,01-DEC-1983,0,1,4.99,16-MAY-2017
"Historical Introduction to the Philsophy of Science, An",501,"Losee, John",6143567858,y,27-JUN-1998,1,4,5.99,18-DEC-2003
Histories of the Future,306,"Sandison, Alan and Robert Dingley (eds)",978-0406700801,y,20-JUL-2007,1,2,21.5,06-OCT-2015
"History of Civilizations, A",942,"Braudel, Ferdinand",0954207373,y,18-NOV-2001,1,1,5.99,04-FEB-2010
History of Political Thought,320.9,"Morrow, John",2581628939,y,,1,2,,20-MAR-2014
"History of Warfare, A",355.9,"Keegan, John",978-1788197296,y,15-OCT-2015,1,1,21.5,03-NOV-2017
History of Western Astrology,600.9,"Tester, Jim",1659093863,y,,1,4,,20-MAR-2014
"History of the Countryside, The",900,"Rackham, Oliver",6016065453,y,14-SEP-1998,1,4,7.99,19-JUL-2005
"History of the English Language, A",420.9,"Baugh, Albert C, and Cable, Thomas",5583712736,y,15-MAY-2001,1,0,17.99,14-DEC-2010
"History of the Mind, A",100,"Humphrey, Nicholas",0835472360,y,25-APR-1997,1,2,5.99,28-FEB-2004
"History of the Runestaff, The",823,"Moorcock, Michael",6970785683,n,01-JUN-1982,0,0,1.99,16-MAY-2017
"History: Remembered, Recovered, Invented",901,"Lewis, Bernard",0159683405,y,25-JAN-1999,1,1,5.99,29-NOV-2005
"Hitch-hiker's Guide to the Galaxy, The",823,"Adams, Douglas",5413470750,n,01-JAN-1981,0,10,4.5,16-MAY-2017
"Hollow Lands, The",823,"Moorcock, Michael",9259799961,y,01-JUN-1979,3,12,0.99,18-AUG-1987
Hollowpoint,823,"Reuland, Rob",0044176113,n,10-AUG-2003,0,1,21.5,16-MAY-2017
Hollywood Beyond the Screen,942.08,"Massey, Anne",3529095358,y,24-DEC-1998,1,4,5.99,03-APR-1999
Hollywood Genres and Post-War,791.43,"Chopra-Gant, Mike",1203810177,y,31-JUL-2002,1,2,12.49,04-JUN-2009
Holy Blood and Holy Grail,1.94,"Baigent, Michael, Leigh, Richard and Lincoln, Henr",0920556202,n,16-AUG-1997,0,1,12.49,16-MAY-2017
Homo Ludens,306,"Huizinga, Johan",4884291917,y,19-JUL-1999,2,1,17.99,05-OCT-2007
"Honourable Schoolboy, The",823,"Le Carre, John",8511820640,y,18-MAR-1998,3,0,5.99,17-OCT-2007
Hope and Glory: Britain 1900-1990,941,"Clarke, Peter",3272734966,y,04-OCT-2002,2,4,12.49,21-DEC-2010
"House Built on Sand, A",501,"Koertge, Noretta (ed.)",9610315598,y,16-JUN-2003,1,1,21.5,14-JAN-2013
How Brains Think,150,"Calvin, William H",0682355445,y,03-MAY-2002,2,2,7.99,20-JUL-2010
How We Write: Writing as Creative Design,807,"Sharples, Mike",0435970617,y,22-JUL-2001,2,2,5.99,26-MAY-2008
How the Mind Works,500,"Pinker, Steven",978-0140244915,y,21-NOV-2001,1,2,5.99,07-FEB-2010
How to Build a Mind,4.1,"Aleksander, Igor",9803435057,y,10-JUN-1986,2,2,4.5,09-JAN-1996
How to Lie With Statistics,500,"Huff, Darrell",0470143808,n,12-JUN-1996,0,2,7.99,16-MAY-2017
How to Read Music,780.7,"Evans, Roger",8910016305,y,01-JAN-1994,2,0,17.99,24-JUN-1999
How to Read Shakespeare,809.2,"Royle, Nicholas",2513598643,y,,1,4,,05-NOV-2012
How to Save Your Own Life,823,"Jong, Erica",0287470352,n,01-MAY-1986,0,4,1.99,16-MAY-2017
"Human Brain, The",571,"Greenfield, Susan",537278721X,y,03-APR-2000,2,2,12.49,20-JUN-2008
Human Rights: A Very Short Introduction,323,"Clapham, Andrew",0514044268,y,30-AUG-2002,2,2,12.49,16-NOV-2010
"Human Situation, The",824,"Huxley, Aldous",5284172234,y,30-MAY-1997,1,4,7.99,16-AUG-2005
"Humanoids, The",1.9,"Bowen, Charles(ed)",4219770168,n,01-JAN-1977,0,2,1.99,16-MAY-2017
Hume in 90 Minutes,190.9,"Strathern, Paul",4449510246,n,21-DEC-1998,0,2,5.99,16-MAY-2017
"Hummingbird Saint, The",823,"MacDonald, Hector",978-6786553439,y,31-MAY-2006,4,4,17.99,24-FEB-2009
"Hydrogen Sonata, The",823,"Banks, Iain M",4392954537,y,01-FEB-2001,1,1,5.99,25-JUL-2006
Hypnosis for the Seriously Curious,150,"Bowers, Kenneth S,",1823303500,y,22-OCT-2001,1,2,21.5,26-AUG-2008
Hypnosis: Fact and Fiction,153,"Marcuse, F L",9463781663,y,18-OCT-1996,2,1,21.5,04-JAN-2005
Hypnotism: A History,150,"Forrest, Derek",5464883924,y,26-NOV-2005,2,1,5.99,30-SEP-2012
Hystories: Hysterical Epidemics and Modern Culture,306,"Showalter, Elaine",4989482600,y,04-JAN-2000,2,2,5.99,26-JUN-2005
"I Ching, The",133.3,"Douglas, A",7792128831,n,19-OCT-2003,0,4,17.99,16-MAY-2017
I Know Where I'm Going! (BFI Cinema Classic),791.43,"Cook, Pam",978-7717165350,y,20-SEP-2008,1,4,17.99,10-OCT-2010
I am Lazarus,808.3,"Kavan, Anna",978-944083748X,y,08-NOV-2015,1,2,5.99,15-MAY-2018
"I, Claudius",823,"Graves, Robert",0491660009,n,01-OCT-1989,0,4,4.99,16-MAY-2017
"I, Robot",823,"Asimov, Isaac",8839283511,n,01-JAN-1976,0,10,2.99,16-MAY-2017
I: The Philosophy and Psychology of Personal Identity,153,"Glover, Jonathan",8772538932,y,10-JUN-1995,1,2,17.99,14-APR-2002
Ice,823,"Kavan, Anna",3636368058,y,01-DEC-1988,4,2,1.99,17-FEB-1997
"Ice Harvest, The",823,"Phillips, Scott",6346204456,n,29-APR-2004,0,10,5.99,16-MAY-2017
"Icon Critical Dictionary of Postmodern Thought, The",190,"Sim, Stuart (ed.)",6649511474,y,23-DEC-2005,1,0,17.99,24-JUL-2015
"Icon Critical Dictionary of the New Cosmology, The",520.03,"Coles, Peter (ed.)",9800057062,y,11-NOV-2002,2,0,7.99,03-MAY-2008
"Idea of Nature, The",501,"Collingwood, R G",9374043699,y,13-DEC-2002,2,2,5.99,04-JUN-2008
Ideas that Matter,1.1,"Grayling, A C",0462865280,,20-NOV-1995,2,4,12.49,06-FEB-2004
Ideology and Insanity,154.2,"Szasz, Thomas",6288223009,y,,2,2,,24-JUN-2011
Ideology: A Very Short Introduction,300,"Freeden, Michael",0834126752,y,01-NOV-1994,2,1,5.99,18-JAN-2003
Idoru,823,"Gibson, William",3968537028,y,01-JUL-2004,3,12,5.99,22-DEC-2009
"Illusions of Postmodernism, The",801.1,"Eagleton, Terry",1228421294,y,12-JUL-1998,2,4,17.99,16-MAY-2005
"Image of Antiquity, The",750.9,"Smiles, Sam",500573355X,y,,1,2,,24-JUN-2011
Imagining Numbers,510.9,"Mazur, Barry",7936777928,y,05-FEB-1999,1,2,7.99,28-JUL-2004
Imagining Space: Achivements-Predictions-Possibilities:1950-2050,520.9,"Launius, Riger D, and Howard E McCurdy",978-6965965222,y,14-DEC-2008,2,2,7.99,02-MAR-2017
"Immoralist, The",823,"Gide, Andre",9192147031,n,01-DEC-1978,0,2,0.99,16-MAY-2017
Imperial Fictions: Europe's Myths of Orient,306,"Kabbani, Rana",4959914575,y,03-MAY-2002,1,1,12.49,15-SEP-2003
In Defence of History,900.1,"Evans, Richard J",8270515119,y,01-JAN-1994,2,2,5.99,24-JUN-1999
In His Image,500,"Rorvik, David M",0203280202,n,01-APR-1993,0,2,5.99,16-MAY-2017
In Search of the Double Helix,500,"Gribbin, John",8895643562,y,01-MAY-1992,1,2,21.5,21-MAY-1994
In Search of the Edge of Time,520,"Gribbin, John",084229094X,y,01-APR-1996,2,2,12.49,22-SEP-2001
In Search of the Indo-Europeans,420.9,"Mallory, J P",0833442300,y,24-AUG-1998,1,4,5.99,24-MAR-2008
In Watermelon Sugar,823,"Brautigan, Richard",2535684175,n,01-AUG-1979,0,12,2.99,16-MAY-2017
In a Summer Season,823,"Taylor, Elizabeth",3980639146,y,,2,10,,20-MAR-2014
In the Beginning,520,"Gribbin, John",518668941X,y,20-APR-1996,1,2,5.99,07-JUL-2004
In the Beginning Was the Worm,576,"Brown, Andrew",5613723786,y,31-DEC-2001,2,2,5.99,19-MAR-2010
In the Image of the Brain,500,"Jubak, Jim",934276243X,y,18-OCT-1997,1,2,21.5,19-MAY-2007
"Industrial Age, The: Economy and Society in Britain 1750-1986",941,"More, Charles",7521752244,y,30-DEC-2004,2,2,17.99,19-JAN-2007
"Industrial Revolution, The",909.81,"Ashton, T S",4652957104,y,15-FEB-1999,2,4,5.99,04-MAY-2007
"Industrialisation of Europe, The",909.81,"Henderson, W O",587575859X,n,01-JAN-1981,0,4,1.99,16-MAY-2017
"Industrializaton of Intelligence, The",0,"Kennedy, Noah",5481219066,y,16-JAN-1997,1,2,7.99,21-NOV-2003
Industry  and Empire,909.81,"Hobsbawm, E J",2898019758,y,14-APR-1997,2,4,17.99,05-OCT-2002
"Infinite Hive, The",130,"Heywood, Rosalind",8158196713,n,01-JAN-1977,0,4,0.99,16-MAY-2017
Ingenious Pursuits,900,"Jardine, Lisa",2543211627,y,31-JUL-2005,1,0,17.99,04-JUN-2012
"Inheritors, The",823,"Golding, William",8899541497,y,01-SEP-1978,4,1,1.99,09-MAY-1979
"Inner Wheel, The",823,"Roberts, Keith",8258871044,y,06-NOV-2005,2,12,7.99,23-JAN-2014
"Innocent, The",823,"McEwan, Ian",9610413443,n,15-FEB-1999,0,1,12.49,16-MAY-2017
Instructions for a Heatwave,823,"O'Farrell, Maggie",1767955772,y,,4,4,,21-JAN-2008
Intellectual Impostures,194,"Sokal, Alan and Bricmont, Jean",9487428902,y,27-JAN-2000,2,2,7.99,14-APR-2008
Intellectuals,305.5,"Johnson, Paul",6529899219,y,07-AUG-2001,2,2,21.5,24-OCT-2009
"Intellectuals and the Masses, The",820.9,"Carey, John",1201084634,y,07-MAR-1998,2,4,5.99,09-JAN-2005
Intimacy,823,"Sartre, John Paul",3235168594,y,01-MAR-1980,3,1,4.5,18-MAY-1988
"Intimate Screen, The",306,"Jacobs, Jason",3522844055,y,26-JUL-2005,2,2,7.99,12-OCT-2013
Introducing Baudrillard,190.9,"Horrocks, Chris and Zoran Jevtic",978-3387352081,y,04-NOV-2006,2,1,7.99,21-JAN-2015
Introducing Economics,330,MacCormick. B J (ed),7331507777,y,24-AUG-1998,2,1,17.99,02-DEC-1998
Introducing Ethics,100,"Robinson, Dave, and Chris Garratt",267052025X,y,26-DEC-2003,2,0,5.99,13-MAR-2012
Introducing Heidegger,190.9,"Collins, Jeff, and Howard Selina",5822035259,y,17-DEC-2000,2,2,7.99,22-OCT-2007
Introducing Neuro-Linguistic Programming,158,Connor and Seymour,7730703995,n,01-APR-1992,0,4,17.99,16-MAY-2017
Introducing Science,500,"Isaacs, Alan",3064739887,y,01-JUN-1990,2,1,17.99,10-JUL-1994
Introducing Sociology,301,"Peter Worsley, (Ed)",7182170338,y,,2,0,,21-JAN-2008
Introduction to Alternative Technology,600,"Congdon, R J (Ed)",808507119X,y,25-DEC-2002,1,4,17.99,25-JUL-2012
"Introduction to Jung's Psychology, An",154.2,"Fordham, Frieda",1836067500,n,01-DEC-1978,0,4,1.99,16-MAY-2017
Introduction to Mythology,290,"Spence, Lewis",0439781919,n,15-NOV-1995,0,1,5.99,16-MAY-2017
Introduction to Psychology,153,"Hilgard, Ernest C, Atkinson, Richard C, and Atkins",4350002093,y,16-JAN-1997,2,1,17.99,21-NOV-2003
Introductory Guide to Cultural Theory and Popular Culture,820.9,"Storey, John",8049479829,y,20-FEB-1997,1,4,17.99,09-MAY-2005
Inventing Tomorrow: How to Live in a Changing World,335,"Allaby, Michael",084833176X,n,04-OCT-2002,0,0,5.99,16-MAY-2017
Inventing the Victorians,941.081,"Sweet, Matthew",4914400501,y,,1,0,,20-MAR-2014
"Invention of Tradition, The",900,"Hobsbawm, Eric and Ranger, Terence",4629081262,y,16-FEB-1997,2,4,12.49,27-MAR-2001
Inversions,823,"Banks, Ian M",833789001X,y,15-MAR-2005,1,1,12.49,14-OCT-2014
Invisible Residents,1.9,"Sanderson, Ivan T",4806527903,n,01-NOV-1976,0,2,2.99,16-MAY-2017
Invitation to Archeology,930.1,"Rahtz, Philip",532601018X,y,20-JAN-1997,1,1,21.5,28-FEB-2001
Invitation to Sociology,300,"Berger, Peter L",8806992475,y,01-SEP-1977,2,1,1.5,22-FEB-1983
Iponemea,823,"Rackham, John",4129793297,n,01-OCT-1989,0,1,4.99,16-MAY-2017
Irrationality,153,"Sutherland, Stuart",8475874443,y,01-APR-1993,2,4,21.5,31-OCT-2002
Island,823,"Huxley, Aldous",0865588603,y,01-JAN-1976,2,1,3.5,19-MAR-1984
Jabberwocky,823,"Hoover, Ralph",7444923631,n,01-AUG-1978,0,12,2.99,16-MAY-2017
Jack of Shadows,823,"Zelazney, Roger",3407937942,y,01-JUL-1983,1,10,1.99,21-DEC-1988
Jacob's Room,823,"Woolf, Virginia",978-4098286435,y,30-DEC-2013,5,12,21.5,15-MAY-2018
Jealousy,153,"Huack, Dr Paul",7916957861,n,10-JUN-1986,0,2,1.99,16-MAY-2017
"Jesus Christ, Heir to the Astronauts",1.9,"Stennhauser, Ernhardt R",7530286753,n,05-JUN-1979,0,2,1.99,16-MAY-2017
"Jesus Incident, The",823,"Herbert, Frank",4431673039,y,01-JUL-1980,1,1,2.99,17-SEP-1988
"Jewels of Aptor, The",823,"Delaney, Samuel R",3447307792,y,01-JAN-1977,3,4,0.99,20-MAR-1985
Job,823,"Heinlein, Robert",113900057X,n,01-JAN-1989,0,4,1.99,16-MAY-2017
Jonathon Livingstone Seagull,823,"Bach, Richard",2944249610,n,01-SEP-1979,0,1,0.99,16-MAY-2017
Journey to the East,823,"Hesse, Herman",2267194475,n,04-JUN-1977,0,4,2.99,16-MAY-2017
Jpod,823,"Coupland, Douglas",978-9470730568,y,30-JAN-2012,4,2,7.99,26-OCT-2014
Jude the Obscure,823,"Hardy, Thomas",4541957134,n,21-JUL-1996,0,1,5.99,16-MAY-2017
Jung - A Very Short Introduction,150.9,"Stevens, Anthony",3216004960,n,23-JUL-2005,0,0,17.99,16-MAY-2017
"Jung Cult, The",150.9,"Noll, Richard",9221545872,y,25-JAN-1998,2,1,21.5,18-JUL-2003
Jurassic Park,823,"Crichton, Michael",1498164060,y,01-AUG-1992,3,12,12.49,22-JAN-1998
Just Six Numbers,500,"Rees, Martin",0753810220,y,18-OCT-2009,2,4,5.99,22-AUG-2016
Kandy-Kolored Tangerine-Flake Streamline Baby,305.9,"Wolfe, Tom",6670462315,y,,1,1,,20-MAR-2014
Kant in 90 Minutes,190.9,"Strahern, Paul",9122142247,n,08-OCT-1997,0,2,5.99,16-MAY-2017
"Keegan, John",355.9,"Face of Battle, The",9709365996,y,01-MAR-1994,2,2,5.99,18-MAY-2002
Keep the Aspidistra Flying,823,"Orwell, George",978-0560084675,y,08-MAY-2007,3,2,12.49,27-MAY-2009
"Keynes: The Rise, Fall and Return",330.192,"Clarke, Peter",8452287246,y,30-SEP-2002,1,4,17.99,17-DEC-2010
"Keys to the Street, The",823,"Rendell, Ruth",8304603434,y,13-MAR-2001,2,1,17.99,30-MAY-2009
"Keys to the Street, The",823,"Rendell, Ruth",978-4508106753,n,03-JUL-2006,0,4,5.99,16-MAY-2017
Keywords,300,"Williams, Raymond",2718785718,y,,1,1,,02-AUG-2015
"Killing Doll, The",823,"Rendell, Ruth",978-6440357955,y,07-JUL-2006,3,10,5.99,05-FEB-2016
Killing Freud,306,"DuFresne, Todd",978-6611536796,y,08-JUL-2007,1,2,17.99,27-JUL-2009
Killing Us Softly,615,"Offit, Paul",0764239016,y,,2,4,,21-JAN-2008
Kilvert's Diary: A Selection,824,"Kilvert, Francis (Plomer, William (Ed.))",0917957183,y,26-OCT-1999,1,4,5.99,26-MAY-2009
Kinds of Minds,128.2,"Dennett, Daniel C",8084422139,y,09-OCT-1997,2,1,5.99,29-OCT-1999
King Arthur's Avalon,942,"Ashe, Geoffrey",0439161845,n,01-JAN-1976,0,0,1.99,16-MAY-2017
King Kobold,823,"Stasheff, Christopher",630304973X,n,01-OCT-1984,0,1,5.49,16-MAY-2017
King Solomon's Carpet,823,"Vine, Barbara",978-7484394385,y,21-MAY-2006,1,10,5.99,07-AUG-2014
"King of the Swords, The",823,"Moorcock, Michael",4205464201,n,01-JAN-1976,0,2,2.99,16-MAY-2017
"King of the Swords, The",823,"Moorcock, Michael",6641138502,n,01-NOV-1983,0,10,4.99,16-MAY-2017
Kiteworld,823,"Roberts, Keith",6950525049,y,01-JUL-1988,1,4,4.5,28-MAR-1991
Knowledge and Explanation in History,901,"Atkinson, R F",8927495935,y,01-DEC-1986,1,1,1.99,17-FEB-1995
"Knowledge and the Power, The",500,"Tolstoy, Ivan",5777593737,y,01-JUL-1991,1,1,5.99,17-SEP-1999
Knowledge is Power,600.9,"Henry, John",9232229008,y,19-MAR-2004,1,0,5.99,05-JUN-2012
Knowledge: A Very Short Introduction,100,"Nagel, Jennifer",5441697429,y,,1,2,,02-AUG-2015
Knulp,823,"Hesse, Herman",978-5386943601,n,21-JUL-2006,0,2,7.99,16-MAY-2017
Kubrick,791.43,"Ciment, Michael",9719030857,y,14-JUN-2001,1,1,21.5,18-APR-2008
"L-Shaped Room, The",823,"Ried Banks, Lynne",3304846228,y,,5,10,,20-MAR-2014
Lacan for Beginners,150.19,"Leader, Darian, and Groves, Judy",6552352717,n,31-MAY-1997,0,1,17.99,16-MAY-2017
Ladies From Hell,823,"Roberts, Keith",5815414584,y,01-JAN-1987,1,4,4.99,09-FEB-1991
Lady Audley's Secret,823,"Braddon, Mary Elizabeth",5512162626,y,07-NOV-2001,3,10,7.99,08-JUN-2011
Lady Chatterley's Lover,823,"Lawrence, D H",4337855775,y,01-JAN-1976,1,10,3.5,05-NOV-1982
Laing and Anti-Psychology,150.1,Various,8945239302,y,01-OCT-1993,1,1,5.99,18-DEC-2001
Lair,823,"Herbert, James",9047419196,n,01-FEB-1990,0,0,12.49,16-MAY-2017
"Lake of Darkness, The",823,"Rendell, Ruth",2377510789,n,01-NOV-1993,0,2,17.99,16-MAY-2017
Landscape and Memory,900,"Schama, Simon",1380470209,y,20-DEC-1999,1,2,17.99,11-JUN-2005
Landscape and Townscape in the South West,900,"Highham, Robert (Ed.)",2392582708,y,27-JUN-1998,1,4,17.99,26-JAN-2008
Language and Creativity: The Art of Common Talk,418,"Carter, Ronald",6205175163,y,08-JUN-2002,1,4,21.5,25-AUG-2010
Language in History,400.9,"Goad, Harold",0594360256,y,13-JUL-1998,2,2,12.49,11-FEB-2008
Language in the Modern World,400,"Potter, Simeon",978-6880922563,n,04-JAN-2008,0,1,17.99,16-MAY-2017
"Language of 1984, The: Orwell's English and Ours",417,"Bolton, W F",4975426982,y,29-SEP-1999,1,4,17.99,07-JAN-2000
"Language of the Genes, The",575.1,"Jones, Steve",0484511024,y,12-OCT-1997,2,2,5.99,13-MAY-2007
Languages and Jargons,417,"Burke, Peter, and Roy Porter (eds.)",5566472078,y,07-OCT-2001,1,4,17.99,24-DEC-2009
Languages of Nature,600.9,"Jordanova, Ludmilla (ed.)",1807838702,y,01-JUL-2003,2,2,7.99,17-SEP-2011
"Last Frontier, The",520.9,"Guthke, Karl S",4046268549,y,28-MAY-1998,2,1,5.99,14-AUG-2006
"Last Leap, The",823,"Galouye, Daniel F",9272084436,n,01-OCT-1982,0,10,1.99,16-MAY-2017
"Last Three Minutes, The",520,"Davies, Paul",7982152010,y,27-MAY-2003,2,1,5.99,13-AUG-2011
Learning English,410,"Mercer, Neil, Swann, J. and Mayor, B.",978-5438593498,y,03-AUG-2011,1,4,21.5,15-MAY-2018
Learning from Other Worlds,809.38762,"Parrinder, Patrick (ed)",1365800948,y,,1,1,,24-JUN-2011
Learning to Philosophise,100,"Emmet, E R",0287228516,y,01-JAN-1980,1,2,3.5,19-MAR-1988
"Left Brain, Right Brain",153,"Springer, Sally P,",7208376144,y,20-JAN-1998,2,2,17.99,08-APR-2006
Legends from the End of Time,823,"Moorcock, Michael",4758254506,y,01-SEP-1979,1,12,3.5,10-DEC-1979
Leisure and Class in Victorian Britain,941.34,"Bailey, Peter",9031572202,n,29-DEC-2000,0,2,21.5,16-MAY-2017
Leviathan,823,"Shea, Richard and Wilson, Robert Anton",3326257851,y,01-AUG-1993,1,10,5.99,05-JUN-2000
Leviathan,321,"Hobbes, Thomas",9349919506,,29-JAN-1997,1,2,12.49,22-JUL-2002
Leviathan Wakes,823,"Corey, James A",9682441545,y,20-JAN-2003,3,10,17.99,20-AUG-2012
"Liar's Tale, The",900,Jeremy Campbell,7895669582,y,30-OCT-2002,1,4,5.99,16-JAN-2011
Liberty in the Modern State,323,"Laski, H J",3997781493,n,01-FEB-1982,0,2,1.99,16-MAY-2017
Life and Death of Democracy,321.8,"Keane, John",0354881245,y,08-NOV-1997,2,1,5.99,25-JAN-2006
Life and Times of the English Language,420.9,"Flaiborne, L C",4542805406,y,01-JAN-1994,1,1,21.5,20-MAR-2002
"Life, the Universe, and Everything",823,"Adams, Douglas",7298069190,n,01-OCT-1983,0,12,4.99,16-MAY-2017
Lifetide,500,"Watson, Lyall",4832559002,n,01-MAR-1990,0,1,17.99,16-MAY-2017
Light Years,1.9,"Kinder, Gary",681879374X,n,01-MAY-1995,0,2,17.99,16-MAY-2017
Limbo 90,823,"Wolfe, Bernard",5170565590,n,01-APR-1984,0,4,4.99,16-MAY-2017
Linguistic Thought in England,410,"Harris, Roy (ed.)",0084668878,y,13-OCT-1996,2,1,7.99,14-MAY-2006
Linguistics,410,"Crystal, David",7750071486,y,12-MAY-2000,1,1,21.5,17-MAR-2007
"Lion and the Unicorn, The",321,"Orwell, George",963944621X,y,11-FEB-1998,2,4,17.99,22-MAR-2002
Listen! The Stars!,823,"Brunner, John",978-3159533196,n,21-SEP-2007,0,12,21.5,16-MAY-2017
Listening to Prozac,153,"Kramer, Peter D",2724472793,y,10-FEB-2004,1,1,17.99,15-DEC-2010
Literature in Context,809,"Rylance, Rick and Judy Simons (eds)",7485177218,y,,1,2,,02-AUG-2015
"Literature, Politics and Culture in Postwar Britain",306,"Sinfield, Alan",978-6082783540,y,12-APR-2007,2,1,12.49,10-NOV-2016
"Little Friend, The",823,"Tart, Donna",978-5570542414,y,16-FEB-2012,3,1,17.99,15-MAY-2018
Live Flesh,823,"Rendell, Ruth",978-0161512629,y,26-NOV-2006,3,10,21.5,30-SEP-2013
"Lives to Come, The",500,"Kitcher, Philip",4685969388,y,13-DEC-1997,1,2,17.99,01-MAR-2006
"Living Brain, The",153,"Walter, W Gray",4131057758,n,15-OCT-1995,0,2,17.99,16-MAY-2017
Local Anaesthetic,823,"Grass, Gunter",1438612724,n,01-MAY-1980,0,1,4.5,16-MAY-2017
Locke in 90 Minutes,190.9,"Strathern, Paul",4033834242,n,25-NOV-1998,0,2,17.99,16-MAY-2017
Logic and its Limits,100,"Shaw, Patrick",8007862465,y,,1,0,,20-MAR-2014
"London Underground, The",625.9,"Day, J R",9535341617,n,01-DEC-1980,0,2,2.99,16-MAY-2017
"Long Result, The",823,"Brunner, John",2542813375,y,01-MAY-1990,2,1,12.49,30-NOV-1999
"Long Revolution, The",800.9,"Williams, Raymond",966832778X,y,19-MAR-1997,1,2,12.49,18-OCT-2006
"Long Weekend, The",941.082,"Graves, Robert, and Hodge, Alan",1350153736,n,18-APR-1998,0,4,5.99,16-MAY-2017
Look at the Harlequins,823,"Nabokov, Vladimir",8684241878,y,01-MAY-1992,4,4,5.99,18-JUL-2000
Look to Windward,823,"Banks, Iain, M",978-0588101954,y,26-JUN-2015,3,4,7.99,15-MAY-2018
"Looking Glass War, The",823,"Le Carre, John",057741209X,y,01-MAR-1994,3,12,5.99,30-SEP-2003
Looking for Orthon,1.9,"Bennet, Colin",1023576949,y,28-JAN-2003,1,1,21.5,02-DEC-2009
"Loom of Language, The",410,"Bodmer, Frederick",6040502948,y,28-AUG-2001,2,2,5.99,29-MAR-2011
Lord Valentine's Castle,823,"Silverberg, Robert",3171229299,n,01-FEB-1991,0,4,5.99,16-MAY-2017
Lord of Light,823,"Zelazney, Roger",8515581977,y,01-APR-1980,3,12,4.5,18-JUN-1988
Lord of the Flies,823,"Golding, William",475466428X,y,01-SEP-1977,1,1,3.5,18-NOV-1985
"Lord of the Rings, The",823,"Tolkein, J R R",5031547493,y,01-JAN-1976,5,1,1.5,01-AUG-1985
"Lord of the Rings, The",823,"Tolkien, J R R",0089390362,y,01-JAN-1985,1,1,1.99,02-AUG-1994
"Lost Girl, The",823,"Lawrence, D H",8730347314,y,25-FEB-1998,1,10,5.99,14-MAY-2006
"Lost Roads of Wessex, The",900,"Cochrane, C",978-2818092877,y,05-MAY-2015,2,2,7.99,15-MAY-2018
Love,823,"Carter, Angela",4660048762,y,01-JUL-1992,1,2,17.99,09-AUG-1996
Love Among the Haystacks,808.3,"Lawrence, D H",0169744226,y,01-FEB-1980,2,2,5.49,19-APR-1988
"Lovely Bones, The",823,"Sebold, The",7960078441,y,,1,10,,02-AUG-2015
Lunatic Lovers of Language,417,"Yaguello, Marina",6201564752,y,27-MAY-2003,2,2,12.49,13-AUG-2011
"Lure of the Edge, The",300,"Denzler, Brenda",7303277034,y,21-OCT-2004,2,2,5.99,22-MAY-2014
"Lure of the Sea, The",306.4,"Corbin, Alain",1221891977,y,22-APR-1999,1,0,17.99,12-OCT-2004
Machines and Men,823,"Roberts, Keith",4601552205,y,01-DEC-1986,5,10,4.99,17-FEB-1995
"Mad, Bad and Dangerous? The Scientist and the Cinema",791.43,"Frayling, Christopher",9442602829,y,01-OCT-1994,1,1,12.49,05-AUG-2001
Madame Blavatsky's Baboon,133.9,"Washington, Peter",0018681861,y,10-FEB-1998,2,1,12.49,18-OCT-1998
Magic,133.4,"Conway, David",7473315842,n,01-MAY-1992,0,2,5.99,16-MAY-2017
Magic,823,"Goldman, William",3042837676,n,01-MAY-1986,0,10,1.99,16-MAY-2017
"Magic Furnace, The",520,"Chown, Marcus",5303578170,y,26-AUG-2002,2,0,12.49,30-JUN-2009
"Magician, The",823,"Maugham, W Somerset",978-5008275823,y,25-SEP-2013,5,12,5.99,15-MAY-2018
"Magus, The",823,"Fowles, John",6829186988,y,01-JAN-1989,4,10,1.99,06-NOV-1995
Maiden Castle,823,Powys. John Cowper,978-9934402220,n,07-SEP-2014,0,1,17.99,16-MAY-2017
Main Currents in Sociological Thought Vol1,301,"Aron, Raymond",7292526158,y,01-AUG-1986,2,4,4.99,20-AUG-1988
Main Currents in Sociological Thought Vol2,301,"Aron, Raymond",2099950305,y,01-AUG-1986,2,2,1.99,18-OCT-1994
Make Death Love Me,823,"Rendell, Ruth",978-3930428714,y,06-FEB-2006,4,0,17.99,11-DEC-2012
Making Sense: Philosophy Behind the Headlines,100,"Baggini, Julian",5819969282,n,25-DEC-2000,0,1,5.99,16-MAY-2017
"Making of England, The",942,"Bryant, Arthur",7103440960,n,01-APR-1988,0,1,4.99,16-MAY-2017
"Making of Intelligence, The",500,"Richardson, Ken",6390682411,y,,1,1,,24-JUN-2011
